id,customerID,employeeID,orderDate,paymentMethod,status,trackingNumber
CA-2011-106229,NR-18550,24,7/6/2011,Stripe,delivered,0955-10084
CA-2011-106264,CK-12595,18,26/12/2011,Cash,delivered,0978-10085
CA-2011-106376,BS-11590,18,5/12/2011,Credit Card,delivered,0001-10086
CA-2011-106439,GG-14650,19,31/10/2011,Credit Card,delivered,0024-10087
CA-2011-106572,NP-18700,22,5/9/2011,Credit Card,delivered,0047-10088
CA-2011-106719,RB-19645,21,24/8/2011,PayPal,delivered,0070-10089
CA-2011-106726,RS-19765,4,6/12/2011,Debit Card,delivered,0093-10090
CA-2011-106803,DC-13285,14,29/12/2011,Debit Card,delivered,0116-10091
CA-2011-106810,AJ-10795,20,14/5/2011,Stripe,delivered,0139-10092
CA-2011-106971,BM-11785,10,2/9/2011,Cash,delivered,0162-10093
CA-2011-107139,DP-13390,14,5/7/2011,Debit Card,delivered,0185-10094
CA-2011-107153,GZ-14545,16,28/9/2011,Debit Card,delivered,0208-10095
CA-2011-107181,DB-13270,13,5/2/2011,Cash,delivered,0231-10096
CA-2011-107398,BS-11590,5,25/8/2011,Credit Card,delivered,0254-10097
CA-2011-107454,RD-19720,23,2/11/2011,Debit Card,delivered,0277-10098
CA-2011-107524,KN-16705,8,2/3/2011,PayPal,delivered,0300-10099
CA-2011-107573,PB-19150,11,12/12/2011,PayPal,delivered,0323-10100
CA-2011-107594,EH-13945,16,2/7/2011,Credit Card,delivered,0346-10101
CA-2011-107706,ST-20530,12,15/2/2011,Debit Card,delivered,0369-10102
CA-2011-107755,CK-12760,14,8/2/2011,Debit Card,delivered,0392-10103
CA-2011-107769,BT-11395,11,28/10/2011,Cash,delivered,0415-10104
CA-2011-107811,LA-16780,19,29/4/2011,PayPal,delivered,0438-10105
CA-2011-107818,MC-17275,20,8/9/2011,Cash,delivered,0461-10106
CA-2011-107916,JP-15460,2,24/8/2011,Stripe,delivered,0484-10107
CA-2011-108147,RD-19480,8,8/6/2011,Cash,delivered,0507-10108
CA-2011-108182,DL-13315,3,7/2/2011,Debit Card,delivered,0530-10109
CA-2011-108189,ES-14080,1,2/10/2011,Stripe,delivered,0553-10110
CA-2011-108273,EJ-13720,20,16/12/2011,Debit Card,delivered,0576-10111
CA-2011-108609,AJ-10780,11,31/10/2011,Cash,delivered,0599-10112
CA-2011-108707,DB-12910,19,24/10/2011,Cash,delivered,0622-10113
CA-2011-108861,MM-17260,11,28/5/2011,PayPal,delivered,0645-10114
CA-2011-108903,DO-13435,4,3/10/2011,Debit Card,delivered,0668-10115
CA-2011-109043,CS-12355,9,15/8/2011,Cash,delivered,0691-10116
CA-2011-109127,JC-15775,1,21/12/2011,Stripe,delivered,0714-10117
CA-2011-109134,DE-13255,14,5/11/2011,Cash,delivered,0737-10118
CA-2011-109218,AR-10825,17,30/6/2011,Stripe,delivered,0760-10119
CA-2011-109232,ND-18370,23,14/1/2011,Credit Card,delivered,0783-10120
CA-2011-109302,CS-12175,25,12/8/2011,PayPal,delivered,0806-10121
CA-2011-109491,LC-16930,18,21/2/2011,Credit Card,delivered,0829-10122
CA-2011-109680,VP-21760,24,6/10/2011,Credit Card,delivered,0852-10123
CA-2011-109855,LH-16900,20,1/9/2011,Cash,delivered,0875-10124
CA-2011-109890,PG-18820,21,21/7/2011,Debit Card,delivered,0898-10125
CA-2011-109897,BW-11200,25,12/8/2011,Debit Card,delivered,0921-10126
CA-2011-109904,BF-10975,12,14/7/2011,Credit Card,delivered,0944-10127
CA-2011-109918,LR-17035,20,7/9/2011,Credit Card,delivered,0967-10128
CA-2011-109932,VP-21760,8,9/12/2011,Cash,delivered,0990-10129
CA-2011-110030,LF-17185,6,6/12/2011,Cash,delivered,0013-10130
CA-2011-110065,SP-20650,6,5/8/2011,Debit Card,delivered,0036-10131
CA-2011-110072,MG-17680,7,22/10/2011,Stripe,delivered,0059-10132
CA-2011-110100,LC-16885,5,25/4/2011,Debit Card,delivered,0082-10133
CA-2011-110184,BF-11170,16,12/7/2011,Credit Card,delivered,0105-10134
CA-2011-110219,EB-13870,1,5/5/2011,PayPal,delivered,0128-10135
CA-2011-110352,ED-13885,5,23/11/2011,Cash,delivered,0151-10136
CA-2011-110408,AS-10225,9,18/10/2011,Debit Card,delivered,0174-10137
CA-2011-110422,TB-21400,24,22/1/2011,Stripe,delivered,0197-10138
CA-2011-110527,ED-13885,2,9/8/2011,PayPal,delivered,0220-10139
CA-2011-110555,MM-18055,21,11/4/2011,PayPal,delivered,0243-10140
CA-2011-110611,JD-16015,5,6/10/2011,PayPal,delivered,0266-10141
CA-2011-110639,RH-19495,12,23/8/2011,Cash,delivered,0289-10142
CA-2011-110786,AJ-10795,24,29/12/2011,PayPal,delivered,0312-10143
CA-2011-110849,JL-15835,17,18/4/2011,PayPal,delivered,0335-10144
CA-2011-111003,CR-12625,21,1/6/2011,Stripe,delivered,0358-10145
CA-2011-111059,TB-21400,24,4/2/2011,Stripe,delivered,0381-10146
CA-2011-111150,RW-19630,10,31/12/2011,Debit Card,delivered,0404-10147
CA-2011-111157,NH-18610,6,2/3/2011,Debit Card,delivered,0427-10148
CA-2011-111192,TS-21430,11,30/7/2011,Cash,delivered,0450-10149
CA-2011-111360,AT-10435,21,24/11/2011,Cash,delivered,0473-10150
CA-2011-111451,KL-16555,4,26/12/2011,Cash,delivered,0496-10151
CA-2011-111500,DJ-13510,21,17/8/2011,Cash,delivered,0519-10152
CA-2011-111773,JK-15625,10,29/6/2011,Debit Card,delivered,0542-10153
CA-2011-111857,NM-18445,13,23/4/2011,PayPal,delivered,0565-10154
CA-2011-111871,EK-13795,25,18/3/2011,Credit Card,delivered,0588-10155
CA-2011-111899,NC-18340,25,4/5/2011,Stripe,delivered,0611-10156
CA-2011-111934,GD-14590,2,5/5/2011,Cash,delivered,0634-10157
CA-2011-111962,EB-14170,6,29/9/2011,Credit Card,delivered,0657-10158
CA-2011-112158,DP-13165,25,2/12/2011,Cash,delivered,0680-10159
CA-2011-112291,KE-16420,3,3/4/2011,Cash,delivered,0703-10160
CA-2011-112326,PO-19195,1,5/1/2011,Stripe,delivered,0726-10161
CA-2011-112403,JO-15280,12,31/3/2011,Debit Card,delivered,0749-10162
CA-2011-112718,KN-16450,2,16/12/2011,PayPal,delivered,0772-10163
CA-2011-112837,LW-17125,8,11/9/2011,Cash,delivered,0795-10164
CA-2011-112851,NR-18550,18,17/9/2011,PayPal,delivered,0818-10165
CA-2011-113047,AP-10915,15,24/10/2011,Cash,delivered,0841-10166
CA-2011-113166,LF-17185,4,24/12/2011,Stripe,delivered,0864-10167
CA-2011-113257,SC-20305,2,16/12/2011,Stripe,delivered,0887-10168
CA-2011-113271,DS-13030,9,9/7/2011,PayPal,delivered,0910-10169
CA-2011-113320,LH-17155,25,12/12/2011,PayPal,delivered,0933-10170
CA-2011-113362,AJ-10960,23,14/9/2011,Cash,delivered,0956-10171
CA-2011-113383,SF-20065,1,10/9/2011,Credit Card,delivered,0979-10172
CA-2011-113579,KD-16345,3,13/12/2011,Debit Card,delivered,0002-10173
CA-2011-113768,AH-10030,15,13/5/2011,Cash,delivered,0025-10174
CA-2011-113859,BC-11125,22,13/9/2011,Debit Card,delivered,0048-10175
CA-2011-113880,VF-21715,1,1/3/2011,Credit Card,delivered,0071-10176
CA-2011-113887,TH-21550,5,5/4/2011,Stripe,delivered,0094-10177
CA-2011-113929,CK-12205,18,16/6/2011,Credit Card,delivered,0117-10178
CA-2011-113964,JP-16135,7,23/9/2011,Stripe,delivered,0140-10179
CA-2011-114125,GH-14410,3,9/7/2011,Stripe,delivered,0163-10180
CA-2011-114181,AF-10885,24,10/5/2011,Cash,delivered,0186-10181
CA-2011-114195,EA-14035,18,1/11/2011,PayPal,delivered,0209-10182
CA-2011-114251,MD-17350,25,5/11/2011,Cash,delivered,0232-10183
CA-2011-114314,DB-13555,19,11/10/2011,Credit Card,delivered,0255-10184
CA-2011-114321,NC-18535,13,20/8/2011,Debit Card,delivered,0278-10185
CA-2011-114335,XP-21865,21,28/9/2011,Credit Card,delivered,0301-10186
CA-2011-114433,NP-18325,8,13/5/2011,Debit Card,delivered,0324-10187
CA-2011-114510,JF-15295,14,14/3/2011,Debit Card,delivered,0347-10188
CA-2011-114517,TH-21235,8,23/12/2011,Credit Card,delivered,0370-10189
CA-2011-114643,FM-14215,17,13/6/2011,PayPal,delivered,0393-10190
CA-2011-114790,FM-14215,25,11/3/2011,Stripe,delivered,0416-10191
CA-2011-115049,MM-17920,10,26/9/2011,Stripe,delivered,0439-10192
CA-2011-115056,AR-10510,2,2/5/2011,Credit Card,delivered,0462-10193
CA-2011-115084,LS-17200,1,18/10/2011,Debit Card,delivered,0485-10194
CA-2011-115133,DA-13450,5,26/9/2011,Credit Card,delivered,0508-10195
CA-2011-115161,LC-17050,17,1/2/2011,Stripe,delivered,0531-10196
CA-2011-115259,RC-19960,1,25/8/2011,Debit Card,delivered,0554-10197
CA-2011-115336,AB-10600,21,18/11/2011,Credit Card,delivered,0577-10198
CA-2011-115357,RF-19735,25,6/8/2011,Stripe,delivered,0600-10199
CA-2011-115791,DL-13315,23,17/1/2011,Credit Card,delivered,0623-10200
CA-2011-115812,BH-11710,17,9/6/2011,Credit Card,delivered,0646-10201
CA-2011-115889,SH-20395,24,2/11/2011,Debit Card,delivered,0669-10202
CA-2011-115973,NG-18430,25,24/11/2011,Stripe,delivered,0692-10203
CA-2011-115980,VW-21775,16,15/7/2011,Debit Card,delivered,0715-10204
CA-2011-116190,SG-20470,2,26/7/2011,Stripe,delivered,0738-10205
CA-2011-116239,CL-12565,3,4/3/2011,PayPal,delivered,0761-10206
CA-2011-116246,LW-17215,24,12/9/2011,PayPal,delivered,0784-10207
CA-2011-116407,JF-15190,17,15/11/2011,PayPal,delivered,0807-10208
CA-2011-116568,BM-11785,20,14/12/2011,Cash,delivered,0830-10209
CA-2011-116666,KT-16480,6,8/5/2011,Credit Card,delivered,0853-10210
CA-2011-116673,JO-15280,1,15/12/2011,PayPal,delivered,0876-10211
CA-2011-116757,MS-17980,23,30/6/2011,Cash,delivered,0899-10212
CA-2011-116785,MH-17290,15,26/4/2011,Cash,delivered,0922-10213
CA-2011-116834,Dp-13240,21,11/10/2011,Stripe,delivered,0945-10214
CA-2011-116904,SC-20095,10,23/9/2011,Stripe,delivered,0968-10215
CA-2011-116932,ME-18010,11,21/7/2011,Debit Card,delivered,0991-10216
CA-2011-117016,SC-20095,10,4/3/2011,Debit Card,delivered,0014-10217
CA-2011-117317,JF-15490,22,19/10/2011,Credit Card,delivered,0037-10218
CA-2011-117345,BF-10975,22,1/8/2011,Debit Card,delivered,0060-10219
CA-2011-117429,MR-17545,24,7/10/2011,PayPal,delivered,0083-10220
CA-2011-117464,NP-18325,12,22/7/2011,Credit Card,delivered,0106-10221
CA-2011-117478,LH-16750,11,21/9/2011,PayPal,delivered,0129-10222
CA-2011-117639,MW-18235,4,21/5/2011,PayPal,delivered,0152-10223
CA-2011-117709,PM-18940,2,4/5/2011,Stripe,delivered,0175-10224
CA-2011-117765,RB-19465,25,7/9/2011,Cash,delivered,0198-10225
CA-2011-118192,MM-17920,21,14/1/2011,Debit Card,delivered,0221-10226
CA-2011-118276,MG-17890,3,29/12/2011,Cash,delivered,0244-10227
CA-2011-118304,KH-16360,16,29/4/2011,Cash,delivered,0267-10228
CA-2011-118339,BN-11515,21,17/3/2011,Stripe,delivered,0290-10229
CA-2011-118962,CS-12130,24,5/8/2011,Cash,delivered,0313-10230
CA-2011-118976,MY-18295,5,28/4/2011,Stripe,delivered,0336-10231
CA-2011-119032,MS-17770,14,27/11/2011,Cash,delivered,0359-10232
CA-2011-119144,JD-16150,4,16/11/2011,Cash,delivered,0382-10233
CA-2011-119151,MP-18175,4,25/11/2011,Credit Card,delivered,0405-10234
CA-2011-119172,HD-14785,21,11/5/2011,Stripe,delivered,0428-10235
CA-2011-119375,YC-21895,11,17/11/2011,PayPal,delivered,0451-10236
CA-2011-119466,SP-20860,18,15/12/2011,Debit Card,delivered,0474-10237
CA-2011-119529,DM-13345,24,3/11/2011,Stripe,delivered,0497-10238
CA-2011-119977,DN-13690,22,8/10/2011,Credit Card,delivered,0520-10239
CA-2011-120096,KE-16420,18,4/7/2011,Cash,delivered,0543-10240
CA-2011-120243,AT-10435,4,27/12/2011,Cash,delivered,0566-10241
CA-2011-120278,MS-17365,13,7/11/2011,Stripe,delivered,0589-10242
CA-2011-120411,SB-20185,18,20/9/2011,Cash,delivered,0612-10243
CA-2011-120432,DW-13585,2,24/8/2011,PayPal,delivered,0635-10244
CA-2011-120474,RP-19390,7,1/12/2011,Cash,delivered,0658-10245
CA-2011-120544,SS-20140,6,23/11/2011,PayPal,delivered,0681-10246
CA-2011-120670,JK-16120,20,2/11/2011,Stripe,delivered,0704-10247
CA-2011-120768,IM-15070,3,19/12/2011,PayPal,delivered,0727-10248
CA-2011-120775,RD-19930,25,3/10/2011,Debit Card,delivered,0750-10249
CA-2011-120838,PO-18865,22,23/3/2011,PayPal,delivered,0773-10250
CA-2011-120852,WB-21850,12,20/12/2011,Debit Card,delivered,0796-10251
CA-2011-120887,TS-21205,15,27/9/2011,Debit Card,delivered,0819-10252
CA-2011-120950,GA-14515,3,6/11/2011,Cash,delivered,0842-10253
CA-2011-121006,SC-20020,21,10/11/2011,Debit Card,delivered,0865-10254
CA-2011-121167,MO-17500,25,28/11/2011,Debit Card,delivered,0888-10255
CA-2011-121286,ON-18715,7,4/11/2011,PayPal,delivered,0911-10256
CA-2011-121573,SG-20605,23,3/11/2011,Credit Card,delivered,0934-10257
CA-2011-121629,BT-11680,2,28/11/2011,PayPal,delivered,0957-10258
CA-2011-121664,HP-14815,19,6/5/2011,Credit Card,delivered,0980-10259
CA-2011-121727,JK-15625,19,19/8/2011,PayPal,delivered,0003-10260
CA-2011-121762,ML-17395,20,15/2/2011,Stripe,delivered,0026-10261
CA-2011-121769,JS-15880,13,8/4/2011,Cash,delivered,0049-10262
CA-2011-122070,AH-10030,25,22/4/2011,PayPal,delivered,0072-10263
CA-2011-122217,HP-14815,9,24/11/2011,Cash,delivered,0095-10264
CA-2011-122336,JD-15895,25,13/4/2011,Stripe,delivered,0118-10265
CA-2011-122567,MN-17935,4,17/2/2011,Debit Card,delivered,0141-10266
CA-2011-122588,AR-10540,20,25/11/2011,PayPal,delivered,0164-10267
CA-2011-122609,DP-13000,15,12/11/2011,Debit Card,delivered,0187-10268
CA-2011-122679,AB-10255,19,22/7/2011,Stripe,delivered,0210-10269
CA-2011-122749,NG-18430,7,3/12/2011,Credit Card,delivered,0233-10270
CA-2011-122882,SB-20290,10,7/9/2011,Credit Card,delivered,0256-10271
CA-2011-122931,SM-20950,11,29/9/2011,PayPal,delivered,0279-10272
CA-2011-123064,RA-19915,14,30/6/2011,PayPal,delivered,0302-10273
CA-2011-123127,SP-20620,11,8/9/2011,Stripe,delivered,0325-10274
CA-2011-123225,MN-17935,1,11/7/2011,Credit Card,delivered,0348-10275
CA-2011-123253,DE-13255,20,22/8/2011,Debit Card,delivered,0371-10276
CA-2011-123260,FM-14290,18,26/8/2011,Credit Card,delivered,0394-10277
CA-2011-123295,AH-10120,5,18/7/2011,Credit Card,delivered,0417-10278
CA-2011-123316,SP-20545,19,13/10/2011,Cash,delivered,0440-10279
CA-2011-123323,LH-16900,6,7/11/2011,Debit Card,delivered,0463-10280
CA-2011-123344,JD-16060,16,24/9/2011,PayPal,delivered,0486-10281
CA-2011-123400,EB-13930,10,3/2/2011,Cash,delivered,0509-10282
CA-2011-123477,DW-13195,14,19/1/2011,Stripe,delivered,0532-10283
CA-2011-123498,TC-20980,15,7/11/2011,PayPal,delivered,0555-10284
CA-2011-123855,MC-18100,19,18/6/2011,Credit Card,delivered,0578-10285
CA-2011-123925,RF-19840,2,17/12/2011,Credit Card,delivered,0601-10286
CA-2011-124023,PJ-19015,18,7/4/2011,PayPal,delivered,0624-10287
CA-2011-124079,RF-19345,8,13/12/2011,PayPal,delivered,0647-10288
CA-2011-124247,SH-20635,19,16/12/2011,Stripe,delivered,0670-10289
CA-2011-124394,TB-21520,3,17/10/2011,Stripe,delivered,0693-10290
CA-2011-124429,MH-17785,24,27/5/2011,Stripe,delivered,0716-10291
CA-2011-124464,SS-20515,10,14/7/2011,Debit Card,delivered,0739-10292
CA-2011-124478,MA-17560,22,8/8/2011,Stripe,delivered,0762-10293
CA-2011-124513,SL-20155,14,21/9/2011,Stripe,delivered,0785-10294
CA-2011-124618,CS-11860,13,2/5/2011,Credit Card,delivered,0808-10295
CA-2011-124646,DV-13465,3,22/6/2011,Credit Card,delivered,0831-10296
CA-2011-124688,CC-12610,2,27/8/2011,Debit Card,delivered,0854-10297
CA-2011-124702,MH-17785,24,18/11/2011,Stripe,delivered,0877-10298
CA-2011-124709,GW-14605,15,27/7/2011,Debit Card,delivered,0900-10299
CA-2011-124723,GZ-14470,1,5/8/2011,Credit Card,delivered,0923-10300
CA-2011-124730,LS-17245,5,26/11/2011,Credit Card,delivered,0946-10301
CA-2011-124737,AP-10915,18,23/8/2011,PayPal,delivered,0969-10302
CA-2011-124807,ME-17725,18,12/7/2011,PayPal,delivered,0992-10303
CA-2011-124856,LD-17005,23,29/9/2011,Credit Card,delivered,0015-10304
CA-2011-125136,KD-16495,25,28/9/2011,Credit Card,delivered,0038-10305
CA-2011-125150,PW-19030,6,16/5/2011,Debit Card,delivered,0061-10306
CA-2011-125171,AG-10390,3,3/9/2011,Cash,delivered,0084-10307
CA-2011-125514,BM-11650,2,21/9/2011,PayPal,delivered,0107-10308
CA-2011-125542,NB-18655,20,5/12/2011,Stripe,delivered,0130-10309
CA-2011-125556,ML-17410,14,14/11/2011,PayPal,delivered,0153-10310
CA-2011-125612,BK-11260,11,3/8/2011,PayPal,delivered,0176-10311
CA-2011-125682,RB-19645,25,22/11/2011,Credit Card,delivered,0199-10312
CA-2011-125731,CL-12565,6,10/9/2011,Stripe,delivered,0222-10313
CA-2011-125759,NM-18445,18,9/2/2011,PayPal,delivered,0245-10314
CA-2011-125829,WB-21850,6,4/11/2011,PayPal,delivered,0268-10315
CA-2011-125997,MW-18220,14,20/9/2011,Cash,delivered,0291-10316
CA-2011-126032,BS-11665,7,23/6/2011,Debit Card,delivered,0314-10317
CA-2011-126193,SS-20410,9,7/9/2011,Debit Card,delivered,0337-10318
CA-2011-126200,JE-15715,2,25/8/2011,PayPal,delivered,0360-10319
CA-2011-126277,LH-16900,6,13/9/2011,PayPal,delivered,0383-10320
CA-2011-126333,ME-18010,10,23/12/2011,Cash,delivered,0406-10321
CA-2011-126361,VD-21670,22,4/8/2011,Stripe,delivered,0429-10322
CA-2011-126403,RR-19525,17,9/9/2011,Cash,delivered,0452-10323
CA-2011-126480,HG-14965,5,20/9/2011,Debit Card,delivered,0475-10324
CA-2011-126522,LT-16765,18,1/9/2011,Stripe,delivered,0498-10325
CA-2011-126683,PP-18955,1,29/9/2011,Stripe,delivered,0521-10326
CA-2011-126760,KM-16720,9,26/7/2011,Stripe,delivered,0544-10327
CA-2011-126802,ZC-21910,15,29/12/2011,Cash,delivered,0567-10328
CA-2011-126907,SM-20950,2,1/11/2011,Debit Card,delivered,0590-10329
CA-2011-126963,PS-18760,19,15/6/2011,Cash,delivered,0613-10330
CA-2011-127012,GM-14680,13,11/8/2011,Stripe,delivered,0636-10331
CA-2011-127131,HR-14830,6,24/11/2011,Cash,delivered,0659-10332
CA-2011-127159,HL-15040,22,12/5/2011,Debit Card,delivered,0682-10333
CA-2011-127166,KH-16360,6,21/5/2011,Credit Card,delivered,0705-10334
CA-2011-127187,CP-12085,10,4/12/2011,Stripe,delivered,0728-10335
CA-2011-127299,JL-15835,8,19/9/2011,Cash,delivered,0751-10336
CA-2011-127383,CM-11815,4,31/12/2011,Debit Card,delivered,0774-10337
CA-2011-127446,MC-17590,12,25/11/2011,PayPal,delivered,0797-10338
CA-2011-127488,MS-17365,17,22/9/2011,Stripe,delivered,0820-10339
CA-2011-127523,BG-11695,21,11/5/2011,Stripe,delivered,0843-10340
CA-2011-127558,SS-20410,12,15/11/2011,Stripe,delivered,0866-10341
CA-2011-127586,CS-12400,5,26/9/2011,Credit Card,delivered,0889-10342
CA-2011-127614,NF-18385,5,12/2/2011,PayPal,delivered,0912-10343
CA-2011-127691,EM-14065,1,22/7/2011,Credit Card,delivered,0935-10344
CA-2011-127859,QJ-19255,23,17/3/2011,Credit Card,delivered,0958-10345
CA-2011-127866,JD-15895,21,20/7/2011,PayPal,delivered,0981-10346
CA-2011-127936,CL-12565,23,2/9/2011,Cash,delivered,0004-10347
CA-2011-127964,AP-10720,25,3/3/2011,Stripe,delivered,0027-10348
CA-2011-128055,AA-10315,9,31/3/2011,Debit Card,delivered,0050-10349
CA-2011-128062,AD-10180,16,19/11/2011,Credit Card,delivered,0073-10350
CA-2011-128146,DB-13060,19,21/6/2011,Cash,delivered,0096-10351
CA-2011-128209,GT-14710,16,17/11/2011,PayPal,delivered,0119-10352
CA-2011-128237,CA-12265,14,25/3/2011,PayPal,delivered,0142-10353
CA-2011-128524,MZ-17515,2,11/11/2011,Debit Card,delivered,0165-10354
