orderID,shipmentModeID,shippingDate,country,city,state,postalCode,region
US-2012-164175,3,5/5/2012,United States,Chicago,Illinois,60610,Central
CA-2011-106376,3,10/12/2011,United States,Gilbert,Arizona,85234,West
CA-2013-119823,1,7/6/2013,United States,Springfield,Virginia,22153,South
CA-2013-106075,3,24/9/2013,United States,New York City,New York,10009,East
CA-2014-114440,2,18/9/2014,United States,Jackson,Michigan,49201,Central
US-2012-134026,3,2/5/2012,United States,Memphis,Tennessee,38109,South
US-2014-118038,1,12/12/2014,United States,Houston,Texas,77041,Central
US-2011-147606,2,1/12/2011,United States,Houston,Texas,77070,Central
CA-2013-127208,1,16/6/2013,United States,Decatur,Alabama,35601,South
CA-2011-139451,3,16/10/2011,United States,San Francisco,California,94122,West
CA-2012-149734,3,8/9/2012,United States,Durham,North Carolina,27707,South
US-2014-119662,1,17/11/2014,United States,Chicago,Illinois,60623,Central
CA-2014-140088,2,31/5/2014,United States,Columbia,South Carolina,29203,South
CA-2014-155558,3,3/11/2014,United States,Rochester,Minnesota,55901,Central
CA-2013-159695,2,11/4/2013,United States,Houston,Texas,77095,Central
CA-2013-109806,3,23/9/2013,United States,Los Angeles,California,90036,West
CA-2012-149587,2,5/2/2012,United States,Minneapolis,Minnesota,55407,Central
US-2014-109484,3,13/11/2014,United States,Portland,Oregon,97206,West
CA-2014-161018,2,12/11/2014,United States,New York City,New York,10009,East
CA-2014-157833,1,21/6/2014,United States,San Francisco,California,94122,West
CA-2013-149223,3,12/9/2013,United States,Saint Paul,Minnesota,55106,Central
CA-2013-158568,3,3/9/2013,United States,Chicago,Illinois,60610,Central
CA-2013-129903,2,5/12/2013,United States,Rochester,Minnesota,55901,Central
US-2012-156867,3,17/11/2012,United States,Aurora,Colorado,80013,West
CA-2014-119004,3,29/11/2014,United States,Charlotte,North Carolina,28205,South
CA-2012-129476,3,20/10/2012,United States,Orland Park,Illinois,60462,Central
CA-2014-146780,3,31/12/2014,United States,New York City,New York,10035,East
CA-2013-128867,3,11/11/2013,United States,Urbandale,Iowa,50322,Central
CA-2011-115259,2,27/8/2011,United States,Columbus,Ohio,43229,East
CA-2012-110457,3,6/3/2012,United States,Seattle,Washington,98103,West
US-2012-136476,3,10/4/2012,United States,Bristol,Tennessee,37620,South
CA-2013-103730,1,16/6/2013,United States,Wilmington,Delaware,19805,East
US-2011-152030,2,28/12/2011,United States,Houston,Texas,77041,Central
US-2011-134614,3,25/9/2011,United States,Bloomington,Illinois,61701,Central
US-2014-107272,3,13/11/2014,United States,Phoenix,Arizona,85023,West
US-2013-125969,2,11/11/2013,United States,Los Angeles,California,90004,West
US-2014-164147,1,6/2/2014,United States,Columbus,Ohio,43229,East
CA-2013-145583,3,20/10/2013,United States,Roseville,California,95661,West
CA-2013-110366,2,8/9/2013,United States,Philadelphia,Pennsylvania,19140,East
CA-2014-106180,3,24/9/2014,United States,San Francisco,California,94122,West
CA-2014-155376,3,28/12/2014,United States,Independence,Missouri,64055,Central
CA-2012-110744,3,12/9/2012,United States,Pasadena,California,91104,West
CA-2011-110072,3,28/10/2011,United States,Newark,Ohio,43055,East
CA-2013-114489,3,10/12/2013,United States,Franklin,Wisconsin,53132,Central
CA-2013-158834,1,17/3/2013,United States,Scottsdale,Arizona,85254,West
CA-2012-124919,1,2/6/2012,United States,San Jose,California,95123,West
CA-2012-118948,3,3/6/2012,United States,Seattle,Washington,98105,West
CA-2011-104269,2,6/3/2011,United States,Seattle,Washington,98115,West
CA-2013-114104,3,25/11/2013,United States,Edmond,Oklahoma,73034,Central
CA-2013-162733,1,13/5/2013,United States,Los Angeles,California,90045,West
CA-2012-119697,2,31/12/2012,United States,Philadelphia,Pennsylvania,19134,East
CA-2013-154508,3,21/11/2013,United States,Carlsbad,New Mexico,88220,West
CA-2013-113817,3,12/11/2013,United States,Seattle,Washington,98115,West
CA-2011-139892,3,12/9/2011,United States,San Antonio,Texas,78207,Central
CA-2011-118962,3,9/8/2011,United States,Los Angeles,California,90004,West
US-2011-100853,3,19/9/2011,United States,Chicago,Illinois,60623,Central
US-2014-152366,2,26/4/2014,United States,Houston,Texas,77036,Central
US-2012-101511,2,23/11/2012,United States,Newark,Ohio,43055,East
CA-2012-137225,3,19/12/2012,United States,New York City,New York,10009,East
CA-2011-166191,2,9/12/2011,United States,Decatur,Illinois,62521,Central
CA-2011-158274,2,24/11/2011,United States,Monroe,Louisiana,71203,South
CA-2013-105018,3,3/12/2013,United States,Fairfield,Connecticut,6824,East
CA-2011-123260,3,30/8/2011,United States,Los Angeles,California,90032,West
CA-2013-157000,3,23/7/2013,United States,Grand Prairie,Texas,75051,Central
CA-2012-102281,1,14/10/2012,United States,New York City,New York,10035,East
CA-2012-131457,3,6/11/2012,United States,Redlands,California,92374,West
CA-2011-140004,3,25/3/2011,United States,Hamilton,Ohio,45011,East
CA-2014-107720,3,14/11/2014,United States,Westfield,New Jersey,7090,East
US-2014-124303,3,14/7/2014,United States,Philadelphia,Pennsylvania,19120,East
CA-2014-105074,3,30/6/2014,United States,Akron,Ohio,44312,East
CA-2011-133690,1,5/8/2011,United States,Denver,Colorado,80219,West
US-2014-116701,2,22/12/2014,United States,Dallas,Texas,75220,Central
CA-2014-126382,3,8/6/2014,United States,Franklin,Tennessee,37064,South
CA-2014-108329,3,15/12/2014,United States,Whittier,California,90604,West
CA-2014-135860,3,8/12/2014,United States,Saginaw,Michigan,48601,Central
CA-2012-101007,2,13/2/2012,United States,Dallas,Texas,75220,Central
CA-2012-146262,3,9/1/2012,United States,Medina,Ohio,44256,East
CA-2013-130162,3,2/11/2013,United States,Los Angeles,California,90032,West
CA-2012-169397,1,27/12/2012,United States,Dublin,Ohio,43017,East
CA-2012-163055,3,16/8/2012,United States,Detroit,Michigan,48227,Central
US-2012-145436,3,4/3/2012,United States,Columbia,Tennessee,38401,South
US-2011-156216,3,17/9/2011,United States,Charlotte,North Carolina,28205,South
US-2014-100930,3,13/4/2014,United States,Tampa,Florida,33614,South
CA-2014-160514,3,17/11/2014,United States,Santa Clara,California,95051,West
CA-2013-157749,2,10/6/2013,United States,Chicago,Illinois,60610,Central
CA-2011-131926,2,6/6/2011,United States,Lakeville,Minnesota,55044,Central
CA-2013-154739,2,16/12/2013,United States,San Francisco,California,94109,West
CA-2013-145625,3,18/9/2013,United States,San Diego,California,92037,West
CA-2013-146941,1,14/12/2013,United States,New York City,New York,10024,East
US-2012-159982,3,4/12/2012,United States,Chicago,Illinois,60623,Central
CA-2014-163139,2,4/12/2014,United States,New York City,New York,10009,East
US-2014-155299,3,13/6/2014,United States,Pasadena,Texas,77506,Central
US-2011-106992,2,21/9/2011,United States,Houston,Texas,77036,Central
CA-2013-125318,3,14/6/2013,United States,Chicago,Illinois,60610,Central
CA-2012-155040,3,15/11/2012,United States,Brentwood,California,94513,West
CA-2014-136826,3,21/6/2014,United States,Chapel Hill,North Carolina,27514,South
CA-2013-111010,3,28/1/2013,United States,Morristown,New Jersey,7960,East
US-2014-145366,3,14/12/2014,United States,Cincinnati,Ohio,45231,East
CA-2014-163979,2,3/1/2015,United States,San Francisco,California,94110,West
CA-2012-155334,1,31/7/2012,United States,San Francisco,California,94109,West
CA-2014-118136,1,18/9/2014,United States,Inglewood,California,90301,West
CA-2014-132976,3,18/10/2014,United States,Philadelphia,Pennsylvania,19140,East
US-2012-161991,2,28/9/2012,United States,Houston,Texas,77070,Central
CA-2012-130890,3,6/11/2012,United States,Los Angeles,California,90004,West
CA-2012-130883,3,2/10/2012,United States,Portland,Oregon,97206,West
CA-2013-112697,2,21/12/2013,United States,Tamarac,Florida,33319,South
CA-2013-110772,2,25/11/2013,United States,Columbus,Ohio,43229,East
CA-2011-111451,1,28/12/2011,United States,Colorado Springs,Colorado,80906,West
CA-2013-142545,3,4/11/2013,United States,Belleville,New Jersey,7109,East
US-2014-152380,3,24/11/2014,United States,Chicago,Illinois,60623,Central
CA-2012-144253,2,9/5/2012,United States,New York City,New York,10024,East
CA-2011-130960,3,4/1/2012,United States,Taylor,Michigan,48180,Central
CA-2011-111003,3,6/6/2011,United States,Lakewood,New Jersey,8701,East
CA-2014-126774,1,18/4/2014,United States,Arlington,Virginia,22204,South
CA-2013-142902,2,15/9/2013,United States,Arvada,Colorado,80004,West
CA-2011-120887,3,3/10/2011,United States,Hackensack,New Jersey,7601,East
CA-2011-167850,3,16/8/2011,United States,Saint Petersburg,Florida,33710,South
CA-2011-164259,1,30/12/2011,United States,Philadelphia,Pennsylvania,19143,East
CA-2011-164973,3,9/11/2011,United States,New York City,New York,10024,East
CA-2011-156601,3,24/9/2011,United States,Long Beach,California,90805,West
CA-2013-162138,3,28/4/2013,United States,Hesperia,California,92345,West
CA-2014-153339,2,6/11/2014,United States,Murfreesboro,Tennessee,37130,South
US-2013-141544,1,2/9/2013,United States,Philadelphia,Pennsylvania,19143,East
US-2013-150147,2,30/4/2013,United States,Philadelphia,Pennsylvania,19134,East
CA-2012-137946,2,4/9/2012,United States,Los Angeles,California,90045,West
CA-2011-129924,3,17/7/2011,United States,San Francisco,California,94122,West
CA-2012-128167,2,26/6/2012,United States,Layton,Utah,84041,West
CA-2011-122336,2,17/4/2011,United States,Philadelphia,Pennsylvania,19140,East
US-2012-120712,3,24/12/2012,United States,Austin,Texas,78745,Central
CA-2014-169901,3,20/6/2014,United States,San Francisco,California,94122,West
CA-2014-134306,3,13/7/2014,United States,Lowell,Massachusetts,1852,East
CA-2013-129714,1,4/9/2013,United States,New York City,New York,10009,East
CA-2013-138520,3,14/4/2013,United States,New York City,New York,10035,East
CA-2013-130001,3,29/4/2013,United States,Charlotte,North Carolina,28205,South
CA-2014-155698,1,12/3/2014,United States,Columbus,Georgia,31907,South
CA-2014-144904,3,2/10/2014,United States,New York City,New York,10009,East
CA-2011-123344,3,29/9/2011,United States,San Francisco,California,94109,West
CA-2013-155516,4,22/10/2013,United States,Manchester,Connecticut,6040,East
CA-2014-104745,3,5/6/2014,United States,Harlingen,Texas,78550,Central
US-2011-119137,3,27/7/2011,United States,Tucson,Arizona,85705,West
US-2013-134656,1,2/10/2013,United States,Quincy,Illinois,62301,Central
US-2014-134481,3,2/9/2014,United States,Franklin,Massachusetts,2038,East
CA-2012-130792,3,5/5/2012,United States,Houston,Texas,77095,Central
CA-2013-134775,1,30/10/2013,United States,San Francisco,California,94109,West
CA-2012-125395,2,29/6/2012,United States,Taylor,Michigan,48180,Central
US-2012-168935,3,2/12/2012,United States,Pembroke Pines,Florida,33024,South
CA-2012-122756,3,7/12/2012,United States,Philadelphia,Pennsylvania,19140,East
CA-2011-115973,1,26/11/2011,United States,Cincinnati,Ohio,45231,East
CA-2014-101798,3,16/12/2014,United States,New York City,New York,10009,East
US-2011-135972,2,23/9/2011,United States,Des Moines,Washington,98198,West
US-2011-134971,2,10/6/2011,United States,Peoria,Illinois,61604,Central
CA-2014-102946,3,6/7/2014,United States,Las Vegas,Nevada,89115,West
CA-2014-165603,2,20/10/2014,United States,Warwick,Rhode Island,2886,East
CA-2012-122259,3,4/11/2012,United States,Jackson,Michigan,49201,Central
CA-2013-108987,2,11/9/2013,United States,Houston,Texas,77036,Central
CA-2011-113166,1,26/12/2011,United States,Miami,Florida,33180,South
CA-2011-155208,3,20/4/2011,United States,Wilmington,North Carolina,28403,South
CA-2014-117933,3,30/12/2014,United States,New York City,New York,10024,East
CA-2014-117457,3,13/12/2014,United States,San Francisco,California,94110,West
CA-2014-142636,3,8/11/2014,United States,Seattle,Washington,98105,West
CA-2014-122105,3,29/6/2014,United States,Huntington Beach,California,92646,West
CA-2013-148796,3,19/4/2013,United States,Los Angeles,California,90004,West
CA-2014-154816,3,11/11/2014,United States,Richmond,Kentucky,40475,South
CA-2014-110478,3,10/3/2014,United States,Los Angeles,California,90045,West
CA-2011-142048,1,25/6/2011,United States,Louisville,Colorado,80027,West
CA-2014-125388,3,24/10/2014,United States,Lawrence,Massachusetts,1841,East
CA-2014-155705,2,24/8/2014,United States,Jackson,Mississippi,39212,South
CA-2014-149160,2,27/11/2014,United States,Canton,Michigan,48187,Central
CA-2011-101476,1,13/9/2011,United States,New Rochelle,New York,10801,East
CA-2014-152275,3,9/10/2014,United States,San Antonio,Texas,78207,Central
US-2013-123750,3,22/4/2013,United States,Gastonia,North Carolina,28052,South
CA-2013-127369,1,8/6/2013,United States,Lowell,Massachusetts,1852,East
US-2011-150574,3,25/12/2011,United States,Jacksonville,Florida,32216,South
CA-2013-147375,2,15/6/2013,United States,Chicago,Illinois,60623,Central
CA-2014-130043,3,20/9/2014,United States,Houston,Texas,77070,Central
CA-2014-157252,2,24/1/2014,United States,New York City,New York,10024,East
CA-2013-115756,2,8/9/2013,United States,Detroit,Michigan,48227,Central
CA-2014-154214,2,26/3/2014,United States,Columbus,Indiana,47201,Central
CA-2013-166674,2,4/4/2013,United States,Auburn,New York,13021,East
CA-2014-147277,3,25/10/2014,United States,Akron,Ohio,44312,East
CA-2013-100153,3,18/12/2013,United States,Norman,Oklahoma,73071,Central
US-2011-110674,3,19/2/2011,United States,Concord,California,94521,West
US-2013-157945,3,2/10/2013,United States,Decatur,Illinois,62521,Central
CA-2012-109638,3,22/12/2012,United States,Seattle,Washington,98115,West
CA-2013-109869,3,30/4/2013,United States,Phoenix,Arizona,85023,West
US-2012-101399,3,24/1/2012,United States,Park Ridge,Illinois,60068,Central
CA-2014-154907,3,5/4/2014,United States,Amarillo,Texas,79109,Central
US-2013-100419,2,21/12/2013,United States,Chicago,Illinois,60610,Central
CA-2012-154144,3,24/12/2012,United States,Lindenhurst,New York,11757,East
CA-2011-144666,2,11/11/2011,United States,San Francisco,California,94110,West
CA-2013-103891,3,20/7/2013,United States,Los Angeles,California,90008,West
CA-2013-152632,3,3/11/2013,United States,Troy,New York,12180,East
CA-2013-100790,3,3/7/2013,United States,New York City,New York,10024,East
CA-2011-134677,3,10/10/2011,United States,San Diego,California,92024,West
CA-2011-127691,3,27/7/2011,United States,New York City,New York,10024,East
CA-2014-140963,1,14/6/2014,United States,Los Angeles,California,90045,West
CA-2011-154627,1,31/10/2011,United States,Chicago,Illinois,60610,Central
CA-2011-133753,2,13/6/2011,United States,Huntsville,Texas,77340,Central
CA-2011-113362,3,19/9/2011,United States,Rochester,New York,14609,East
CA-2013-169166,3,15/5/2013,United States,Seattle,Washington,98115,West
US-2013-120929,2,22/3/2013,United States,Memphis,Tennessee,38109,South
CA-2012-134782,3,31/12/2012,United States,Fayetteville,Arkansas,72701,South
CA-2013-126158,3,1/8/2013,United States,Costa Mesa,California,92627,West
US-2013-105578,3,5/6/2013,United States,Parker,Colorado,80134,West
CA-2014-134978,2,16/11/2014,United States,New York City,New York,10024,East
CA-2012-145352,3,22/3/2012,United States,Atlanta,Georgia,30318,South
CA-2014-135307,1,28/11/2014,United States,Gladstone,Missouri,64118,Central
CA-2013-106341,1,24/10/2013,United States,Newark,Ohio,43055,East
CA-2014-163405,3,26/12/2014,United States,Los Angeles,California,90049,West
CA-2014-127432,3,28/1/2014,United States,Great Falls,Montana,59405,West
CA-2012-157812,3,26/3/2012,United States,Houston,Texas,77041,Central
CA-2014-145142,1,26/1/2014,United States,Detroit,Michigan,48234,Central
US-2013-139486,1,24/5/2013,United States,Los Angeles,California,90032,West
CA-2012-158792,3,2/1/2013,United States,Lawrence,Massachusetts,1841,East
CA-2014-113558,3,27/10/2014,United States,Lakeland,Florida,33801,South
US-2012-138303,3,7/9/2012,United States,Philadelphia,Pennsylvania,19134,East
CA-2012-102848,2,9/11/2012,United States,Los Angeles,California,90036,West
US-2014-129441,3,12/9/2014,United States,Los Angeles,California,90032,West
CA-2013-168753,2,2/6/2013,United States,Montgomery,Alabama,36116,South
CA-2013-126613,3,17/7/2013,United States,Mesa,Arizona,85204,West
US-2014-122637,2,9/9/2014,United States,Chicago,Illinois,60653,Central
CA-2012-147851,3,8/12/2012,United States,New York City,New York,10009,East
CA-2012-134894,3,11/12/2012,United States,Henderson,Kentucky,42420,South
CA-2011-140795,1,4/2/2011,United States,Green Bay,Wisconsin,54302,Central
CA-2013-136924,1,18/7/2013,United States,Tucson,Arizona,85705,West
US-2012-120131,3,23/12/2012,United States,Springfield,Ohio,45503,East
CA-2011-103849,3,16/5/2011,United States,Fort Worth,Texas,76106,Central
CA-2014-162929,1,23/11/2014,United States,New York City,New York,10035,East
CA-2012-113173,2,17/11/2012,United States,Chicago,Illinois,60653,Central
CA-2013-136406,2,18/4/2013,United States,San Francisco,California,94110,West
CA-2014-112774,1,13/9/2014,United States,Jacksonville,Florida,32216,South
CA-2014-101945,3,29/11/2014,United States,Houston,Texas,77070,Central
CA-2014-100650,2,4/7/2014,United States,Anaheim,California,92804,West
CA-2011-155852,2,7/3/2011,United States,Wilmington,North Carolina,28403,South
CA-2013-113243,3,16/6/2013,United States,Los Angeles,California,90045,West
CA-2014-118731,2,23/11/2014,United States,San Francisco,California,94110,West
CA-2011-145576,2,18/9/2011,United States,Tampa,Florida,33614,South
CA-2012-130736,1,9/12/2012,United States,Seattle,Washington,98105,West
CA-2014-137099,1,11/12/2014,United States,Los Angeles,California,90008,West
CA-2014-156951,3,9/10/2014,United States,Seattle,Washington,98105,West
CA-2014-164826,3,5/1/2015,United States,New York City,New York,10024,East
CA-2013-127250,3,8/11/2013,United States,Marysville,Washington,98270,West
CA-2012-149713,2,22/9/2012,United States,Long Beach,California,90805,West
CA-2014-118640,3,27/7/2014,United States,Chicago,Illinois,60610,Central
CA-2012-132906,3,14/9/2012,United States,Los Angeles,California,90004,West
CA-2014-145233,3,6/12/2014,United States,Denver,Colorado,80219,West
CA-2012-128139,3,9/7/2012,United States,Richmond,Kentucky,40475,South
US-2013-156986,3,25/3/2013,United States,Salem,Oregon,97301,West
CA-2011-135405,3,14/1/2011,United States,Laredo,Texas,78041,Central
CA-2011-131450,3,15/8/2011,United States,San Diego,California,92024,West
CA-2013-120180,1,17/7/2013,United States,Philadelphia,Pennsylvania,19134,East
US-2013-100720,3,22/7/2013,United States,Philadelphia,Pennsylvania,19120,East
CA-2011-149958,3,19/3/2011,United States,Tampa,Florida,33614,South
US-2011-105767,3,27/5/2011,United States,Philadelphia,Pennsylvania,19134,East
CA-2013-161816,1,2/5/2013,United States,Dallas,Texas,75217,Central
CA-2013-121223,2,14/9/2013,United States,Philadelphia,Pennsylvania,19143,East
CA-2014-138611,2,18/11/2014,United States,Grove City,Ohio,43123,East
CA-2014-117947,2,24/8/2014,United States,New York City,New York,10011,East
US-2011-111171,3,31/12/2011,United States,Chicago,Illinois,60610,Central
CA-2012-138009,3,3/12/2012,United States,Dearborn,Michigan,48126,Central
CA-2014-163020,3,20/9/2014,United States,New York City,New York,10009,East
CA-2014-153787,3,24/5/2014,United States,Seattle,Washington,98115,West
CA-2014-133431,3,22/12/2014,United States,San Francisco,California,94122,West
US-2013-135720,2,14/12/2013,United States,Aurora,Colorado,80013,West
CA-2014-144694,2,27/9/2014,United States,Miami,Florida,33180,South
CA-2012-168004,2,9/10/2012,United States,Warner Robins,Georgia,31088,South
US-2013-123470,3,22/8/2013,United States,Aurora,Colorado,80013,West
CA-2013-115917,3,26/5/2013,United States,Vallejo,California,94591,West
CA-2013-147067,3,23/12/2013,United States,Minneapolis,Minnesota,55407,Central
CA-2014-167913,2,4/8/2014,United States,Mission Viejo,California,92691,West
CA-2014-106103,3,16/6/2014,United States,Rochester Hills,Michigan,48307,Central
US-2014-127719,3,26/7/2014,United States,Plainfield,New Jersey,7060,East
CA-2014-126221,3,6/1/2015,United States,Columbus,Indiana,47201,Central
CA-2013-103947,3,9/4/2013,United States,Sierra Vista,Arizona,85635,West
CA-2013-160745,2,17/12/2013,United States,Vancouver,Washington,98661,West
CA-2013-132661,3,30/10/2013,United States,New York City,New York,10024,East
CA-2014-140844,3,24/6/2014,United States,New York City,New York,10035,East
CA-2013-137239,3,29/8/2013,United States,Columbus,Ohio,43229,East
US-2013-156097,4,20/9/2013,United States,Aurora,Illinois,60505,Central
CA-2012-146563,3,28/8/2012,United States,Arlington,Texas,76017,Central
CA-2013-123666,3,31/3/2013,United States,New York City,New York,10011,East
CA-2013-143308,4,5/11/2013,United States,Louisville,Kentucky,40214,South
CA-2014-132682,2,11/6/2014,United States,Dallas,Texas,75081,Central
CA-2011-156314,1,26/12/2011,United States,Cleveland,Ohio,44105,East
US-2014-106663,3,14/6/2014,United States,Chicago,Illinois,60653,Central
CA-2014-111178,3,23/6/2014,United States,Quincy,Illinois,62301,Central
CA-2014-130351,1,9/12/2014,United States,Columbus,Indiana,47201,Central
US-2014-119438,3,24/3/2014,United States,Tyler,Texas,75701,Central
CA-2013-164511,3,25/11/2013,United States,New York City,New York,10024,East
US-2014-168116,4,5/11/2014,United States,Burlington,North Carolina,27217,South
CA-2011-157784,1,8/7/2011,United States,Jackson,Mississippi,39212,South
CA-2014-161480,3,30/12/2014,United States,New York City,New York,10035,East
US-2011-117135,2,23/6/2011,United States,Waynesboro,Virginia,22980,South
CA-2012-131534,3,2/4/2012,United States,Los Angeles,California,90036,West
CA-2012-119291,1,17/5/2012,United States,Chester,Pennsylvania,19013,East
CA-2014-114552,3,9/9/2014,United States,Cleveland,Ohio,44105,East
CA-2013-163755,2,9/11/2013,United States,Seattle,Washington,98103,West
CA-2012-142027,3,14/4/2012,United States,Long Beach,California,90805,West
CA-2011-138527,3,17/9/2011,United States,Cary,North Carolina,27511,South
CA-2011-112158,1,4/12/2011,United States,New York City,New York,10035,East
CA-2011-113887,1,7/4/2011,United States,New York City,New York,10035,East
CA-2014-146136,3,8/9/2014,United States,Palm Coast,Florida,32137,South
US-2014-100048,3,25/5/2014,United States,Mount Vernon,New York,10550,East
CA-2011-153150,2,6/7/2011,United States,Seattle,Washington,98105,West
CA-2011-130092,1,15/1/2011,United States,Dover,Delaware,19901,East
CA-2014-108910,3,30/9/2014,United States,Newark,Ohio,43055,East
CA-2011-104472,3,7/6/2011,United States,Orem,Utah,84057,West
CA-2013-112942,3,18/2/2013,United States,Los Angeles,California,90045,West
CA-2013-142335,3,20/12/2013,United States,Detroit,Michigan,48205,Central
CA-2011-117429,3,13/10/2011,United States,Philadelphia,Pennsylvania,19140,East
CA-2013-114713,3,13/7/2013,United States,Hialeah,Florida,33012,South
CA-2014-144113,3,21/9/2014,United States,Austin,Texas,78745,Central
US-2013-150861,1,7/12/2013,United States,Oceanside,New York,11572,East
CA-2014-131954,3,26/1/2014,United States,Seattle,Washington,98115,West
CA-2011-132500,3,12/9/2011,United States,San Francisco,California,94110,West
CA-2011-112326,3,9/1/2011,United States,Naperville,Illinois,60540,Central
US-2013-146710,3,2/9/2013,United States,Dallas,Texas,75220,Central
CA-2011-124429,4,27/5/2011,United States,San Diego,California,92105,West
CA-2013-150889,2,23/3/2013,United States,Evanston,Illinois,60201,Central
CA-2014-126074,3,7/10/2014,United States,Trenton,Michigan,48183,Central
CA-2013-110499,1,10/4/2013,United States,San Francisco,California,94110,West
CA-2012-135272,3,12/12/2012,United States,Los Angeles,California,90036,West
CA-2013-140928,3,23/9/2013,United States,Jacksonville,Florida,32216,South
CA-2011-106803,3,2/1/2012,United States,Cottage Grove,Minnesota,55016,Central
CA-2014-117240,3,29/7/2014,United States,New York City,New York,10009,East
CA-2014-133333,3,23/9/2014,United States,Green Bay,Wisconsin,54302,Central
CA-2012-112319,3,5/9/2012,United States,Los Angeles,California,90004,West
CA-2014-126046,3,8/11/2014,United States,Atlanta,Georgia,30318,South
CA-2012-114923,3,13/2/2012,United States,Columbus,Ohio,43229,East
CA-2011-162775,2,16/1/2011,United States,Bossier City,Louisiana,71111,South
CA-2011-106810,3,20/5/2011,United States,Saint Petersburg,Florida,33710,South
CA-2013-157245,3,25/5/2013,United States,Arlington,Virginia,22204,South
CA-2014-104220,3,6/2/2014,United States,Des Moines,Iowa,50315,Central
CA-2011-165974,3,6/7/2011,United States,Cincinnati,Ohio,45231,East
CA-2012-144267,1,23/8/2012,United States,San Francisco,California,94110,West
US-2012-157014,2,6/10/2012,United States,Columbus,Ohio,43229,East
CA-2012-154921,3,28/5/2012,United States,Columbia,South Carolina,29203,South
CA-2014-129567,2,22/3/2014,United States,Lancaster,California,93534,West
CA-2012-154620,3,16/12/2012,United States,Lancaster,California,93534,West
CA-2012-115938,3,30/6/2012,United States,Richmond,Virginia,23223,South
CA-2013-105256,4,21/5/2013,United States,Asheville,North Carolina,28806,South
CA-2011-156433,3,26/9/2011,United States,San Francisco,California,94110,West
CA-2014-151428,3,27/9/2014,United States,Rochester,Minnesota,55901,Central
CA-2012-124653,1,26/12/2012,United States,Rochester,New York,14609,East
CA-2012-101910,3,3/12/2012,United States,Lake Elsinore,California,92530,West
CA-2014-105809,1,24/2/2014,United States,San Diego,California,92105,West
CA-2013-136133,2,24/8/2013,United States,New York City,New York,10024,East
CA-2013-115504,3,18/3/2013,United States,Monroe,Louisiana,71203,South
CA-2014-135783,1,25/4/2014,United States,San Francisco,California,94122,West
CA-2011-134313,3,7/11/2011,United States,Denver,Colorado,80219,West
CA-2012-140921,1,5/2/2012,United States,Omaha,Nebraska,68104,Central
CA-2011-151995,1,15/10/2011,United States,Edmonds,Washington,98026,West
CA-2014-143686,4,15/5/2014,United States,Santa Ana,California,92704,West
CA-2012-106565,1,23/3/2012,United States,Milwaukee,Wisconsin,53209,Central
CA-2013-149370,3,20/9/2013,United States,Philadelphia,Pennsylvania,19140,East
CA-2011-140858,3,2/7/2011,United States,Philadelphia,Pennsylvania,19140,East
CA-2014-101434,3,28/6/2014,United States,Belleville,New Jersey,7109,East
US-2011-102071,3,15/5/2011,United States,San Francisco,California,94110,West
CA-2014-126956,3,29/8/2014,United States,Lakeville,Minnesota,55044,Central
